Amazon 出品サービス、フルフィルメント by Amazon (FBA) ,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2020/10/01 02:46:40JST,10720211323,返金,503-4943793-1333462,wm-20200614-05-01500-o-so,PlayStation 2 (SCPH-30000),1,amazon.jp,Amazon,,京都府,617-0842,,"-3,545.00",-355,0,0,0,0,0,0,0,309,0,0,0,"-3,591.00"
2020/10/01 05:19:13JST,10720211323,注文,250-4887812-7580605,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,東京都,131-0041,,"6,158.00",616,0,0,0,0,0,0,0,-745,-421,0,0,"5,608.00"
2020/10/01 06:40:40JST,10720211323,注文,249-4703253-2583863,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,千葉県,267-0066,,"6,157.00",616,0,0,0,0,0,0,0,-745,-421,0,0,"5,607.00"
2020/10/01 11:01:50JST,10720211323,FBA 在庫関連の手数料,,,納品不備受領作業手数料 - 商品ラベルがありません,,Amazon.co.jp,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-102,-102
2020/10/01 11:30:20JST,10720211323,注文,249-5731893-8980642,gf-20200801-02-00330-o-sos,1/144 RX-78-2 ガンダム (機動戦士ガンダム),1,amazon.jp,Amazon,,福井県,919-0476,,"1,355.00",135,0,0,0,0,0,0,0,-328,-421,0,0,741
2020/10/01 11:30:20JST,10720211323,注文,249-5731893-8980642,gf-20200801-02-00330-o-sos,1/144 RX-78-2 ガンダム (機動戦士ガンダム),1,amazon.jp,Amazon,,福井県,919-0476,,"1,355.00",135,0,0,0,0,0,0,0,0,-421,0,0,"1,069.00"
2020/10/01 12:08:02JST,10720211323,注文,503-6791289-4451865,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,東京都,176-0002,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/01 14:59:49JST,10720211323,注文,249-0708758-4275011,gf-20200606-05-00880-o-so,BB戦士 SD戦国伝 天下統一編 初代大将軍(ショダイダイショウグン) NO.79,1,amazon.jp,Amazon,,秋田県,019-2401,,"2,255.00",225,0,0,0,0,0,0,0,-273,-421,0,0,"1,786.00"
2020/10/01 15:10:54JST,10720211323,注文,503-4250220-3449410,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,福島県,960-8252,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/01 15:38:11JST,10720211323,注文,250-0813923-1589439,pk-20200828-10-04000-o-so,Razer Mamba Wireless 無線/有線両対応 ゲーミングマウス 【日本正規代理店保証品】 RZ01-02710100-R3M1 ブラック,1,amazon.jp,Amazon,,徳島県,771-0201,,"5,436.00",544,0,0,0,0,0,0,0,-658,-421,0,0,"4,901.00"
2020/10/01 17:24:38JST,10720211323,注文,249-1592665-1874235,gf-20200606-03-03300-o-so,HG 1/144 ガンダムベース限定 ナラティブガンダム B装備 機動戦士ガンダムUC(ユニコーン),1,amazon.jp,Amazon,,東京都,171-0032,,"4,264.00",426,0,0,322,32,0,0,0,-516,-821,0,0,"3,707.00"
2020/10/01 23:14:33JST,10720211323,注文,249-0176158-0726208,gf-20200828-24-00770-o-so,ガンダムベース限定 SDガンダム BB戦士 三国創傑伝 大喬ガンダムアルテミー/小喬GNアーチャー 機動戦士ガンダム,1,amazon.jp,Amazon,,東京都,133-0061,,"2,255.00",225,232,23,0,0,0,0,0,-546,"-1,261.00",0,150,"1,093.00"
2020/10/01 23:14:33JST,10720211323,注文,249-0176158-0726208,gf-20200828-24-00770-o-so,ガンダムベース限定 SDガンダム BB戦士 三国創傑伝 大喬ガンダムアルテミー/小喬GNアーチャー 機動戦士ガンダム,1,amazon.jp,Amazon,,東京都,133-0061,,"2,255.00",225,232,23,0,0,0,0,0,0,-421,0,150,"2,479.00"
2020/10/02 02:17:53JST,10720211323,注文,249-7180434-4879042,gf-20200809-02-00330-o-so,1/2400 ホワイトベース (機動戦士ガンダム),1,amazon.jp,Amazon,,東京都,146-0085,,727,73,0,0,0,0,0,0,0,-88,-421,0,0,291
2020/10/02 02:32:03JST,10720211323,注文,503-7126176-5755019,ap-20200516-16-00300-o-so,SONY RC-S320 非接触ICカードリーダ/ライタ PaSoRi 「パソリ」,1,amazon.jp,Amazon,,長野県,396-0111,,627,63,0,0,0,0,0,0,0,-61,-381,0,0,248
2020/10/02 09:04:18JST,10720211323,注文,503-6350011-6695059,gf-20190927-50-03740-o-so,HG 1/144 ガンダムベース限定 ユニコーンガンダム ペルフェクティビリティ(デストロイモード) 機動戦士ガンダムU,1,amazon.jp,Amazon,,福島県,960-8252,,"4,791.00",479,186,19,0,0,0,-186,-19,-580,-797,0,300,"4,223.00"
2020/10/02 11:14:07JST,10720211323,注文,503-7936701-7326241,ps-20200201-18-00300-o-so,【アウトレット】 スタイラス デジタイザー タッチペン　N-trig [LS04-A09],1,amazon.jp,Amazon,,奈良県,636-0154,,"1,045.00",105,373,37,0,0,0,-373,-37,-127,-282,0,0,741
2020/10/02 13:37:52JST,10720211323,注文,249-9828366-9566200,rg-20200809-27-03500-o-so,旧モデル Canon インクジェットプリンター PIXUSIP100 モバイルコンパクト,1,amazon.jp,Amazon,,千葉県,299-0111,,"7,218.00",722,0,0,0,0,0,0,0,-699,-467,0,0,"6,774.00"
2020/10/02 14:38:22JST,10720211323,注文,503-4105827-8265411,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,神奈川県,253-0106,,"1,982.00",198,0,0,0,0,0,0,0,-191,-467,0,0,"1,522.00"
2020/10/02 15:16:05JST,10720211323,注文,250-4936533-8586265,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,東京都,201-0001,,"6,157.00",616,0,0,0,0,0,0,0,-745,-421,0,0,"5,607.00"
2020/10/02 15:16:05JST,10720211323,注文,503-4702742-4412603,tm-20191226-02-00500-o-so,Intel純正 CPUクーラー LGA1151,1,amazon.jp,Amazon,,東京都,121-0824,,"1,718.00",172,0,0,0,0,0,0,0,-166,-421,0,0,"1,303.00"
2020/10/02 15:28:28JST,10720211323,注文,249-4684010-4379860,ic-20200620-31-00800-o-so,hp USB日本語キーボード KU-1156 ブラック,1,amazon.jp,Amazon,,大分県,870-0128,,"2,709.00",271,0,0,0,0,-1,0,0,-262,-712,0,0,"2,005.00"
2020/10/02 15:45:25JST,10720211323,返金,249-6635093-0254205,ap-20200721-48-00300-o-so,Wacom ペンタブレット Sサイズ ホワイト フォトショップエレメンツ&ペインターエッセンシャル付属 Bamboo Fun CTH-470,1,amazon.jp,Amazon,,東京都,115-0055,,"-1,618.00",-162,0,0,0,0,0,0,0,141,0,0,0,"-1,639.00"
2020/10/02 15:57:17JST,10720211323,注文,503-7080002-0024637,tm-20200904-45-02178-o-so,AMD Wraith Prism RGB CPUクーラー AM4 4ピンコネクター 銅ベース/アルミヒートシンク,1,amazon.jp,Amazon,,香川県,762-0054,,"5,431.00",543,0,0,0,0,0,0,0,-526,-421,0,0,"5,027.00"
2020/10/02 16:20:52JST,10720211323,注文,250-0036633-4415043,gf-20200801-02-00330-o-sos,1/144 RX-78-2 ガンダム (機動戦士ガンダム),1,amazon.jp,Amazon,,愛知県,463-0022,,"1,355.00",135,0,0,0,0,0,0,0,-164,-421,0,0,905
2020/10/02 17:15:16JST,10720211323,注文,250-6075789-5947029,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,宮城県,983-0045,,891,89,373,37,0,0,0,-373,-37,-108,-421,0,0,451
2020/10/02 18:34:27JST,10720211323,注文,250-1568847-8863805,oc-20190927-41-00054-o-so,くるくるチョコレート工場 ヒミツのここたま チョコレート型セット,1,amazon.jp,Amazon,,兵庫県,651-1321,,355,36,0,0,0,0,0,0,0,-43,-421,0,0,-73
2020/10/02 19:35:20JST,10720211323,注文,250-3305591-9060647,gf-20190927-50-03740-o-so,HG 1/144 ガンダムベース限定 ユニコーンガンダム ペルフェクティビリティ(デストロイモード) 機動戦士ガンダムU,1,amazon.jp,Amazon,,神奈川県,227-0031,,"4,982.00",498,0,0,0,0,0,0,0,-603,-467,0,0,"4,410.00"
2020/10/02 21:17:18JST,10720211323,注文,503-2605873-7204608,gf-20190927-50-03740-o-so,HG 1/144 ガンダムベース限定 ユニコーンガンダム ペルフェクティビリティ(デストロイモード) 機動戦士ガンダムU,1,amazon.jp,Amazon,,神奈川県,259-0112,,"4,982.00",498,0,0,0,0,0,0,0,-603,-467,0,0,"4,410.00"
2020/10/02 22:11:41JST,10720211323,注文,503-2897337-3344633,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,三重県,515-0063,,891,89,186,19,0,0,0,-186,-19,-108,-421,0,0,451
2020/10/03 02:23:43JST,10720211323,注文,249-9083905-2862203,tm-20191226-02-00500-o-so,Intel純正 CPUクーラー LGA1151,1,amazon.jp,Amazon,,大阪府,561-0815,,"1,718.00",172,0,0,0,0,0,0,0,-166,-421,0,0,"1,303.00"
2020/10/03 02:24:15JST,10720211323,注文,249-3045219-3435822,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,東京都,192-0907,,"1,982.00",198,0,0,0,0,0,0,0,-191,-467,0,0,"1,522.00"
2020/10/03 02:24:21JST,10720211323,注文,249-7041884-0951067,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,東京都,197-0802,,"1,982.00",198,0,0,0,0,0,0,0,-191,-467,0,0,"1,522.00"
2020/10/03 11:09:14JST,10720211323,注文,249-9238782-3927008,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,神奈川県,210-0834,,"1,982.00",198,0,0,0,0,0,0,0,-191,-467,0,0,"1,522.00"
2020/10/03 12:40:12JST,10720211323,注文,503-0152454-6042203,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,長崎県,811-5226,,"6,157.00",616,205,20,0,0,0,-205,-20,-745,-421,0,0,"5,607.00"
2020/10/03 15:49:50JST,10720211323,注文,250-8622719-1262248,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,兵庫県,674-0063,,"1,982.00",198,373,37,0,0,0,-373,-37,-191,-467,0,0,"1,522.00"
2020/10/03 15:50:31JST,10720211323,注文,250-4513846-6313407,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,兵庫県,665-0843,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/03 16:59:06JST,10720211323,注文,250-8094850-7874222,rs-20200828-22-09900-o-so,キャラクター・ボーカル・シリーズ01 初音ミク 初音ミク 超歌舞伎 花街詞合鏡Ver. 1/7スケール ABS&PVC製 塗装済み?,1,amazon.jp,Amazon,,北海道,006-0815,,"12,609.00","1,261.00",25,3,0,0,0,-25,-3,"-1,526.00",-815,0,0,"11,529.00"
2020/10/03 17:41:10JST,10720211323,注文,503-6277439-1977456,ic-20200620-31-00800-o-so,hp USB日本語キーボード KU-1156 ブラック,1,amazon.jp,Amazon,,東京都,120-0035,,"2,709.00",271,125,12,0,0,-1,-125,-12,-262,-712,0,0,"2,005.00"
2020/10/03 17:48:37JST,10720211323,注文,249-9740158-5047025,rs-20200904-18-08000-o-so,ARTFX J 鬼滅の刃 竈門炭治郎 1/8スケール PVC製 塗装済み完成品フィギュア,1,amazon.jp,Amazon,,愛知県,470-2212,,"10,364.00","1,036.00",0,0,0,0,0,0,0,"-1,254.00",-467,0,0,"9,679.00"
2020/10/03 17:49:26JST,10720211323,注文,249-1136156-0473465,ic-20200620-31-00800-o-so,hp USB日本語キーボード KU-1156 ブラック,1,amazon.jp,Amazon,,岡山県,701-0204,,"2,709.00",271,373,37,0,0,-1,-373,-37,-262,-712,0,0,"2,005.00"
2020/10/03 22:54:08JST,10720211323,注文,249-8868571-9036632,oc-20200614-07-01000-o-so,トランスフォーマー SS-24 ボーンクラッシャー,1,amazon.jp,Amazon,,神奈川県,220-0012,,"1,882.00",188,0,0,0,0,0,0,0,-228,-421,0,0,"1,421.00"
2020/10/03 23:22:46JST,10720211323,注文,250-4921351-5300667,wm-20200926-15-14663-o-so,PlayStation 4 ジェット・ブラック 500GB (CUH-2200AB01),1,amazon.jp,Amazon,,愛知県,441-8108,,"24,982.00","2,498.00",0,0,0,0,0,0,0,"-2,418.00",-548,0,0,"24,514.00"
2020/10/03 23:28:11JST,10720211323,注文,503-2809031-7622258,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,岐阜県,503-0022,,"9,709.00",971,0,0,0,0,0,0,0,"-1,175.00",-467,0,0,"9,038.00"
2020/10/04 00:28:08JST,10720211323,注文,503-3645103-8532643,rs-20200813-15-00440-o-so,SET LIST ?劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム 挿入歌集?,1,amazon.jp,Amazon,,東京都,164-0013,,362,36,0,0,0,0,0,0,0,-220,-282,0,0,-104
2020/10/04 01:10:13JST,10720211323,注文,503-1497675-9595061,tm-20191226-02-00500-o-so,Intel純正 CPUクーラー LGA1151,1,amazon.jp,Amazon,,愛知県,480-0102,,"1,718.00",172,0,0,0,0,0,0,0,-166,-421,0,0,"1,303.00"
2020/10/04 02:44:21JST,10720211323,注文,250-8925869-5140668,tm-20200904-45-02178-o-so,AMD Wraith Prism RGB CPUクーラー AM4 4ピンコネクター 銅ベース/アルミヒートシンク,1,amazon.jp,Amazon,,群馬県,371-0133,,"5,431.00",543,0,0,0,0,0,0,0,-526,-421,0,0,"5,027.00"
2020/10/04 05:16:31JST,10720211323,注文,503-5274006-1772614,rs-20200904-19-00500-o-so,NARUTO-ナルト- 疾風伝 VIBRATION STARS-HATAKE KAKASHI-,1,amazon.jp,Amazon,,鹿児島県,891-5201,,"1,909.00",191,140,14,0,0,0,-140,-14,-231,-421,0,0,"1,448.00"
2020/10/04 06:07:08JST,10720211323,注文,249-4769564-4826222,te-20200926-17-00500-o-so,エレコム カメラバッグ ボディバッグ offtoco ショルダーバッグ 斜めがけ [ 参考収容寸法(カメラ収納部):90×65×190m,1,amazon.jp,Amazon,,北海道,089-1181,,"1,800.00",180,0,0,0,0,0,0,0,-218,-421,0,0,"1,341.00"
2020/10/04 09:28:42JST,10720211323,注文,249-3470885-1579030,oc-20200828-16-00176-o-so,妖怪ウォッチ 妖怪メダルトレジャー04 巨石文明の二つの奇跡(BOX),1,amazon.jp,Amazon,,京都府,625-0083,,909,91,125,12,0,0,0,-125,-12,-110,-421,0,0,469
2020/10/04 12:08:48JST,10720211323,注文,250-5234479-8640668,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,三重県,510-0812,,"9,527.00",953,125,12,0,0,0,-125,-12,"-1,153.00",-467,0,0,"8,860.00"
2020/10/04 12:51:12JST,10720211323,注文,250-0560932-2294258,si-20200926-22-02200-o-so,サンワサプライ カメラ用アーム クランプ式 CR-LACAM2,1,amazon.jp,Amazon,,神奈川県,251-8511,,"1,800.00",180,0,0,0,0,0,0,0,-174,-467,0,0,"1,339.00"
2020/10/04 12:55:59JST,10720211323,注文,250-4251938-7695019,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,栃木県,325-0016,,"9,709.00",971,373,37,0,0,0,-373,-37,"-1,175.00",-467,0,0,"9,038.00"
2020/10/04 13:48:42JST,10720211323,注文,503-8039569-1121418,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,兵庫県,661-0044,,"9,709.00",971,373,37,0,0,0,-373,-37,"-1,175.00",-467,0,0,"9,038.00"
2020/10/04 14:58:19JST,10720211323,注文,249-2596633-2424602,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,山形県,990-0523,,"9,709.00",971,0,0,0,0,0,0,0,"-1,175.00",-467,0,0,"9,038.00"
2020/10/04 16:36:23JST,10720211323,注文,503-0784284-7709414,gf-20200606-03-03300-o-so,HG 1/144 ガンダムベース限定 ナラティブガンダム B装備 機動戦士ガンダムUC(ユニコーン),1,amazon.jp,Amazon,,山口県,747-0022,,"4,264.00",426,373,37,0,0,0,-373,-37,-516,-467,0,0,"3,707.00"
2020/10/04 16:37:33JST,10720211323,注文,250-7839108-5630217,gf-20200606-03-03300-o-so,HG 1/144 ガンダムベース限定 ナラティブガンダム B装備 機動戦士ガンダムUC(ユニコーン),1,amazon.jp,Amazon,,岐阜県,501-3142,,"4,264.00",426,373,37,0,0,0,-373,-37,-516,-467,0,0,"3,707.00"
2020/10/04 18:09:04JST,10720211323,注文,503-8026229-4448642,rs-20200904-31-02400-o-so,ねんどろいど アベンジャーズ/エンドゲーム キャプテン・アメリカ エンドゲーム・エディション スタンダードV,1,amazon.jp,Amazon,,東京都,156-0057,,"3,618.00",362,0,0,0,0,0,0,0,-438,-421,0,0,"3,121.00"
2020/10/04 18:12:32JST,10720211323,注文,503-8914999-6215033,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,埼玉県,356-0036,,"9,709.00",971,0,0,0,0,0,0,0,"-1,175.00",-797,0,300,"9,038.00"
2020/10/04 18:16:49JST,10720211323,注文,250-3946401-4929421,rs-20200926-04-01760-o-so,仮面ライダージオウ DXアナザーウォッチセットVOL.2,1,amazon.jp,Amazon,,長崎県,857-0353,,"2,982.00",298,0,0,0,0,0,0,0,-361,-421,0,0,"2,498.00"
2020/10/04 18:24:29JST,10720211323,注文,503-0381683-2668621,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,兵庫県,661-0024,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/04 23:12:32JST,10720211323,注文,503-6135057-3131854,rs-20200926-06-02552-o-so,ねんどろいど プロメア ガロ・ティモス ノンスケール ABS&PVC製 塗装済み可動フィギュア,1,amazon.jp,Amazon,,東京都,192-0045,,"3,491.00",349,0,0,0,0,0,0,0,-422,-421,0,0,"2,997.00"
2020/10/05 00:52:57JST,10720211323,注文,503-4655408-2559825,gn-20191207-23-01978-o-so,東芝 アクティブ静電ペン dynabook Tab用 IPCZ131A,1,amazon.jp,Amazon,,東京都,176-0003,,"2,909.00",291,0,0,0,0,0,0,0,-282,-421,0,0,"2,497.00"
2020/10/05 02:17:23JST,10720211323,注文,249-8074604-2101440,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,埼玉県,362-0063,,"9,709.00",971,0,0,0,0,0,0,0,"-1,175.00",-467,0,0,"9,038.00"
2020/10/05 06:04:23JST,10720211323,注文,503-7931471-9205467,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,京都府,623-0011,,"9,709.00",971,0,0,0,0,0,0,0,"-1,175.00",-797,0,300,"9,038.00"
2020/10/05 06:18:38JST,10720211323,注文,250-5413228-6961424,ap-20190706-14-00300-o-so,INTEL純正 LGA1155/LGA1156 CPUクーラー,1,amazon.jp,Amazon,,兵庫県,665-0873,,"1,636.00",164,0,0,0,0,-18,0,0,-157,-421,0,0,"1,204.00"
2020/10/05 12:57:31JST,10730550633,注文,249-1079099-7182224,tm-20200904-05-00638-o-so,エレコム 自撮り棒 セルカ棒 Bluetooth リモコン付 ブラック P-SSBBK,1,amazon.jp,Amazon,,東京都,194-0212,,"1,536.00",154,93,9,0,0,0,-93,-9,-149,-421,0,0,"1,120.00"
2020/10/05 13:02:08JST,10730550633,注文,249-4824007-7869425,tm-20191226-02-00500-o-so,Intel純正 CPUクーラー LGA1151,1,amazon.jp,Amazon,,茨城県,300-4546,,"1,718.00",172,373,37,0,0,0,-373,-37,-166,-751,0,300,"1,303.00"
2020/10/05 13:35:27JST,10730550633,注文,250-9792004-5037460,tm-20200904-05-00638-o-so,エレコム 自撮り棒 セルカ棒 Bluetooth リモコン付 ブラック P-SSBBK,1,amazon.jp,Amazon,,神奈川県,224-0057,,"1,536.00",154,0,0,0,0,0,0,0,-149,-421,0,0,"1,120.00"
2020/10/05 15:11:59JST,10730550633,注文,250-1199349-1439803,tm-20200904-45-02178-o-so,AMD Wraith Prism RGB CPUクーラー AM4 4ピンコネクター 銅ベース/アルミヒートシンク,1,amazon.jp,Amazon,,東京都,111-0054,,"5,431.00",543,0,0,0,0,0,0,0,-526,-421,0,0,"5,027.00"
2020/10/05 18:07:42JST,10730550633,注文,250-2220367-6557454,gf-20200809-01-07700-o-so,RG ペルフェクティビリティ 1/144 ユニコーンガンダム リアルグレード ガンダムベース限定UCガンプラ,1,amazon.jp,Amazon,,沖縄県,904-2161,,"9,709.00",971,409,41,0,0,0,-409,-41,"-1,175.00",-467,0,0,"9,038.00"
2020/10/05 18:37:58JST,10730550633,注文,503-5348678-3939062,us-20200801-09-00150-o-so,brother 廃トナーボックス WT-223CL,1,amazon.jp,Amazon,,東京都,144-0034,,"2,164.00",216,0,0,0,0,0,0,0,-209,-467,0,0,"1,704.00"
2020/10/06 00:01:06JST,10730550633,注文,503-7167808-9199842,tm-20191226-02-00500-o-so,Intel純正 CPUクーラー LGA1151,1,amazon.jp,Amazon,,滋賀県,520-0013,,"1,718.00",172,0,0,0,0,0,0,0,-166,-421,0,0,"1,303.00"
2020/10/06 05:12:52JST,10730550633,返金,249-9828366-9566200,rg-20200809-27-03500-o-so,旧モデル Canon インクジェットプリンター PIXUSIP100 モバイルコンパクト,1,amazon.jp,Amazon,,千葉県,299-0111,,"-7,218.00",-722,0,0,0,0,0,0,0,629,0,0,0,"-7,311.00"
2020/10/06 06:36:31JST,10730550633,注文,249-5522243-8180654,rs-20200904-29-02640-o-so,ねんどろいど ゾンビランドサガ 源さくら ノンスケール ABS&PVC製 塗装済み可動フィギュア,1,amazon.jp,Amazon,,神奈川県,211-0025,,"3,909.00",391,0,0,0,0,0,0,0,-473,-421,0,0,"3,406.00"
